bin,CYCLE_NUMBER,PRES_ADJUSTED,LATITUDE,LONGITUDE,TIME,MLD_DEPTH,CONSISTENT_ANOM,WMO
9,31,340,-0.5236,149.2238,2024-01-01,52.25,NA,2903451
13,31,500,-0.5236,149.2238,2024-01-01,52.25,NA,2903451
9,33,340,-0.3837,149.4713,2024-01-21,56.15999984741211,0,2903451
14,35,540,-0.8692,148.824,2024-02-10,78.05000305175781,0,2903451
7,40,260,-0.8337,148.1621,2024-03-31,72.160003662109375,1,2903451
12,40,460,-0.8337,148.1621,2024-03-31,72.160003662109375,0,2903451
14,40,540,-0.8337,148.1621,2024-03-31,72.160003662109375,0,2903451
15,40,580,-0.8337,148.1621,2024-03-31,72.160003662109375,0,2903451
12,41,460,-0.3631,148.0637,2024-04-10,74.36000061035156,0,2903451
12,42,460,-0.1408,148.2911,2024-04-20,90.160003662109375,0,2903451
10,47,380,-0.9102,152.3577,2024-06-09,186.25,0,2903451
7,49,260,-1.3162,155.2056,2024-06-29,112.63999938964844,0,2903451
13,49,500,-1.3162,155.2056,2024-06-29,112.63999938964844,0,2903451
7,31,260,-56.0128,152.1314,2024-02-03,72.67000579833984,1,2903453
6,32,220,-54.6483,151.3919,2024-02-14,132.38999938964844,0,2903453
10,39,380,-52.7896,157.5578,2024-04-26,212.0699920654297,1,2903453
11,44,420,-51.0826,156.8637,2024-06-16,381.239990234375,0,2903453
