WMO,Cycle,Category,CYCLE_NUMBER,LATITUDE,LONGITUDE,TIME
5905397,72,0,72,-46.0393,141.6956,2018-09-16
5905397,89,0,89,-48.5682,140.5813,2019-03-21
5905397,35,1,35,-47.842,142.244,2018-04-03
1902497,8,0,8,-12.4117,1.6528,2024-04-30
5905375,14,0,14,-63.946,138.82,2018-06-11
6902545,137,0,137,70.956,-0.588,2017-10-17
6902545,140,0,140,70.244,-1.807,2017-11-17
6902545,139,0,139,70.736,-1.475,2017-11-07
6902545,72,2,72,69.85,-0.921,2016-01-04
6902545,71,1,71,70.746,0.377,2015-12-25
6902545,27,0,27,71.384,6.036,2014-10-11
6902545,20,0,20,71.676,1.48,2014-08-02
6902545,133,2,133,71.6,3.139,2017-09-06
6903550,74,0,74,69.36436333333333,9.499373333333333,2020-05-15
6903550,7,0,7,69.86987666666667,1.0838016666666668,2019-06-15
5904923,177,0,177,-22.4625,78.3608,2015-12-02
5904923,234,3,234,-21.351,72.7042,2016-05-21
5904923,252,0,252,-20.8205,68.9276,2016-07-14
5904923,363,0,363,-23.5321,50.5157,2017-06-12
6904240,80,3,80,61.88188749999999,-31.799815,2024-07-03
6904240,7,2,7,58.36635033333334,-49.193507333333336,2022-07-03
6904240,26,0,26,59.29741083333333,-51.58081683333333,2023-01-09
6904240,21,0,21,59.63220549999999,-50.872741,2022-11-20
5904766,72,1,72,-55.691,-135.413,2018-04-27
6903555,77,0,77,75.06552,-1.61016,2020-04-23
6903555,20,1,20,75.41707,-1.6368,2019-08-27
6903555,46,1,46,75.31421,-3.17806,2019-11-20
