WMO,Cycle,Category,CYCLE_NUMBER
5904673,32,0,32
5904673,33,1,33
5904673,34,1,34
5904673,35,1,35
5904673,36,0,36
5904673,37,0,37
5904673,38,0,38
5904673,39,2,39
5904673,40,0,40
5904673,41,2,41
5904673,44,2,44
5904673,45,0,45
5904673,46,2,46
5904673,47,0,47
5904673,48,2,48
5904673,50,1,50
5904673,51,2,51
5904673,56,2,56
5904673,57,2,57
5904673,59,2,59
5904673,60,2,60
5904676,108,4,108
5904676,109,0,109
5904676,135,0,135
5904676,139,1,139
5904676,22,1,22
5904676,23,1,23
5904676,34,2,34
5904676,35,1,35
5904676,42,2,42
5904676,44,1,44
5904676,52,1,52
5904676,58,1,58
5904676,59,1,59
5904676,86,2,86
5904677,19,3,19
5904677,25,1,25
5904677,27,1,27
5904677,34,1,34
5904678,146,1,146
5904679,107,0,107
5904679,116,0,116
5904679,119,4,119
5904679,14,1,14
5904679,6,1,6
5904679,68,1,68
5904679,8,1,8
5904679,87,0,87
5904679,9,1,9
5904684,1,1,1
5904684,136,1,136
5904684,19,1,19
5904684,38,0,38
5904684,41,1,41
5904686,110,0,110
5904686,14,1,14
5904686,16,0,16
5904686,19,2,19
5904686,22,1,22
5904686,24,1,24
5904686,26,1,26
5904686,28,1,28
5904686,29,2,29
5904686,30,0,30
5904686,31,2,31
5904686,32,2,32
5904686,33,1,33
5904686,34,2,34
5904686,36,2,36
5904686,4,2,4
5904686,42,2,42
5904686,43,2,43
5904686,44,0,44
5904686,45,0,45
5904686,46,0,46
5904686,47,0,47
5904686,49,2,49
5904686,50,0,50
5904686,51,2,51
5904686,52,2,52
5904686,54,0,54
5904686,55,0,55
5904686,56,2,56
5904686,79,0,79
5904686,80,0,80
5904686,9,0,9
5904688,106,2,106
5904688,110,2,110
5904688,61,1,61
5904688,75,1,75
5904688,84,1,84
5904688,90,1,90
5904693,129,1,129
5904693,131,1,131
5904693,134,1,134
5904693,135,1,135
5904693,137,1,137
5904693,98,1,98
5904763,17,1,17
5904763,24,1,24
5904767,31,0,31
5904767,36,2,36
5904845,1,1,1
5904845,113,3,113
5904845,156,3,156
5904845,21,3,21
5904845,33,1,33
5904845,36,2,36
5904845,41,2,41
5904845,42,2,42
5904845,43,1,43
5904845,44,2,44
5904845,45,2,45
5904845,48,2,48
5904845,5,2,5
5904845,53,1,53
5904845,61,2,61
5904845,63,1,63
5904845,79,1,79
5904845,87,3,87
5904845,95,3,95
5904924,294,0,294
5904924,165,0,165
5904924,288,0,288
5904924,168,0,168
5904924,297,0,297
5904924,171,0,171
5904924,300,0,300
5904924,174,0,174
5904924,315,0,315
5904924,180,0,180
5904924,318,0,318
5904924,183,0,183
5904924,321,3,321
5904924,186,0,186
5904924,324,3,324
5904924,189,2,189
5904924,327,2,327
5904924,192,0,192
5904924,330,0,330
5904924,195,0,195
5904924,333,0,333
5904924,198,0,198
5904924,339,0,339
5904924,201,0,201
5904924,342,2,342
5904924,204,0,204
5904924,345,2,345
5904924,207,0,207
5904924,348,2,348
5904924,210,0,210
5904924,357,0,357
5904924,213,0,213
5904924,360,0,360
5904924,216,0,216
5904924,363,0,363
5904924,219,2,219
5904924,366,0,366
5904924,222,0,222
5904924,372,0,372
5904924,225,2,225
5904924,375,0,375
