bin,CYCLE_NUMBER,PRES_ADJUSTED,LATITUDE,LONGITUDE,TIME,MLD_DEPTH,CONSISTENT_ANOM,WMO
12,47,460,-41.142,96.671,2012-11-08,101.12000274658203,1,5903593
13,47,500,-41.142,96.671,2012-11-08,101.12000274658203,1,5903593
14,47,540,-41.142,96.671,2012-11-08,101.12000274658203,0,5903593
12,48,460,-41.023,96.93,2012-11-14,111.08999633789062,1,5903593
13,48,500,-41.023,96.93,2012-11-14,111.08999633789062,0,5903593
12,49,460,-41.138,97.749,2012-11-19,101.6500015258789,1,5903593
12,51,460,-42.391,97.721,2012-11-29,100.70000457763672,1,5903593
13,51,500,-42.391,97.721,2012-11-29,100.70000457763672,1,5903593
14,51,540,-42.391,97.721,2012-11-29,100.70000457763672,0,5903593
14,52,540,-42.578,96.966,2012-12-04,55.75,0,5903593
13,53,500,-42.617,96.526,2012-12-10,61.25,0,5903593
14,53,540,-42.617,96.526,2012-12-10,61.25,0,5903593
13,54,500,-42.796,96.412,2012-12-15,7.600000381469727,0,5903593
14,54,540,-42.796,96.412,2012-12-15,7.600000381469727,0,5903593
14,55,540,-42.958754046942516,96.51983703723799,2012-12-20,66.63999938964844,0,5903593
13,60,500,-44.002,98.115,2013-01-15,91.51000213623047,0,5903593
14,60,540,-44.002,98.115,2013-01-15,91.51000213623047,0,5903593
13,61,500,-44.119,98.573,2013-01-20,121.22000122070312,0,5903593
14,61,540,-44.119,98.573,2013-01-20,121.22000122070312,0,5903593
16,62,620,-44.218,98.997,2013-01-25,111.70999908447266,0,5903593
16,65,620,-44.309,99.886,2013-02-10,101.81999969482422,0,5903593
16,68,620,-44.163,99.858,2013-02-25,121.55000305175781,0,5903593
16,69,620,-44.138,99.621,2013-03-03,101.69000244140625,0,5903593
17,69,660,-44.138,99.621,2013-03-03,101.69000244140625,0,5903593
16,70,620,-44.267,99.507,2013-03-08,111.7699966430664,0,5903593
14,75,540,-45.157,101.022,2013-04-03,131.13999938964844,0,5903593
16,75,620,-45.157,101.022,2013-04-03,131.13999938964844,0,5903593
14,77,540,-44.786,102.523,2013-04-13,141,0,5903593
16,77,620,-44.786,102.523,2013-04-13,141,0,5903593
14,78,540,-44.645,102.896,2013-04-18,131.4499969482422,0,5903593
16,78,620,-44.645,102.896,2013-04-18,131.4499969482422,0,5903593
17,83,660,-45.436,105.779,2013-05-14,131.52999877929688,0,5903593
14,115,540,-42.859,107.414,2013-10-27,7.650000095367432,1,5903593
13,118,500,-42.884,107.461,2013-11-12,41.68000030517578,1,5903593
14,118,540,-42.884,107.461,2013-11-12,41.68000030517578,0,5903593
13,125,500,-42.822,107.925,2013-12-18,61.79999923706055,1,5903593
14,125,540,-42.822,107.925,2013-12-18,61.79999923706055,0,5903593
14,131,540,-42.856,107.151,2014-01-18,56.4900016784668,0,5903593
12,133,460,-43.501,106.812,2014-01-29,81.51000213623047,0,5903593
13,134,500,-44.099,106.777,2014-02-03,90.93000030517578,0,5903593
14,134,540,-44.099,106.777,2014-02-03,90.93000030517578,0,5903593
12,137,460,-44.821,105.476,2014-02-18,96.0999984741211,0,5903593
13,137,500,-44.821,105.476,2014-02-18,96.0999984741211,0,5903593
12,141,460,-43.999,103.858,2014-03-11,120.95000457763672,0,5903593
13,141,500,-43.999,103.858,2014-03-11,120.95000457763672,0,5903593
13,144,500,-43.095,104.158,2014-03-27,121.30999755859375,0,5903593
12,192,460,-45.1,114.529,2014-12-03,71.87999725341797,1,5903593
13,196,500,-43.627,113.63,2014-12-24,130.77999877929688,0,5903593
13,212,500,-45.164,111.781,2015-03-17,111.87000274658203,0,5903593
14,212,540,-45.164,111.781,2015-03-17,111.87000274658203,0,5903593
10,264,380,-52.329,154.973,2015-12-14,16.639999389648438,0,5903593
14,40,540,-41.06,9.285,2012-07-18,181.7100067138672,0,5903612
16,131,620,-37.532,24.992,2014-05-10,36.26000213623047,0,5903612
11,90,420,15.479,-120.86700000000002,2013-07-08,41.57999801635742,0,5903711
14,43,540,-50.001,-161.084,2012-10-09,66.43000030517578,0,5903718
14,49,540,-50.871,-160.378,2012-11-09,151.3199920654297,0,5903718
14,52,540,-51.518,-159.64,2012-11-25,21.94999885559082,0,5903718
13,63,500,-52.447,-151.096,2013-01-21,46.42000198364258,0,5903718
11,74,420,-49.76,-150.6,2013-03-19,100.98999786376953,0,5903718
11,128,420,-56.432,-128.507,2013-12-24,86.94000244140625,0,5903718
12,128,460,-56.432,-128.507,2013-12-24,86.94000244140625,0,5903718
12,129,460,-56.552,-127.449,2013-12-30,42.11000061035156,0,5903718
12,134,460,-57.833,-125.878,2014-01-25,76.68000030517578,0,5903718
17,135,660,-58.233,-125.393,2014-01-30,56.599998474121094,0,5903718
14,136,540,-58.472,-125.877,2014-02-04,51.8599967956543,0,5903718
11,148,420,-58.583,-120.645,2014-04-07,111.61000061035156,0,5903718
11,151,420,-58.964,-117.949,2014-04-23,111.17000579833984,0,5903718
12,28,460,76.219,-2.642,2013-01-06,161.5500030517578,0,5903887
14,50,540,75.076,-0.778,2013-04-30,501.2200012207031,1,5903887
6,224,220,71.312,-4.168,2015-10-21,52,NA,5903887
7,224,260,71.312,-4.168,2015-10-21,52,NA,5903887
