WMO,Cycle,Category
5903612,105,0
5903612,62,0
5903612,104,0
5903612,154,0
5903612,182,0
5903612,180,0
5903612,195,0
5903612,28,0
5903612,123,0
5903612,206,0
5903612,81,0
5903612,125,0
5903612,225,0
5903612,37,0
5904182,23,0
5904182,25,0
5904182,32,0
5904182,28,0
5904182,8,0
5904182,20,0
5904182,9,0
5904182,12,0
5904182,11,0
5904182,18,0
5904182,14,0
5904182,24,0
5904182,7,0
5904182,22,0
5904182,21,0
5904182,33,0
5904182,10,0
5904182,5,0
5904182,4,0
5904182,17,0
5904475,197,0
5904475,32,0
5904475,174,0
5904475,158,0
5904475,104,0
5904475,160,0
5904475,28,0
5904475,56,0
5904475,111,0
5904475,126,0
5904475,127,0
5904475,179,0
5904475,128,0
5904475,180,0
5904475,31,0
5904475,177,0
5904475,131,0
5904475,168,0
5904475,134,0
5904475,117,0
4903487,17,0
4903487,29,0
4903487,25,0
4903487,31,0
4903487,8,0
4903487,39,0
4903487,10,0
4903487,19,0
4903487,11,0
4903487,48,0
4903487,47,0
4903487,43,0
4903487,27,0
4903487,37,0
4903487,6,0
4903487,14,0
4903487,30,0
4903487,41,0
4903487,9,0
4903487,28,0
